ZINC_ID,SMILES
ZINCan0000001tKi,O=C(O)C1CN(CCN[C@@H]2C[C@@H]3C[C@@H]3C2)C[C@H]1c1cccc(F)c1
ZINCah0000001tHn,O=C(O)C1CN(CCN[C@H]2CCCOC2)C[C@H]1c1cccc(F)c1
ZINCao0000001tKE,O=C(O)C1CN(CCN[C@H]2CCCSC2)C[C@H]1c1cccc(F)c1
ZINC9k0000001tyA,O=C(O)C1CN(CCN[C@H]2CCSC2)C[C@H]1c1cccc(F)c1
ZINCan0000001tKj,O=C(O)C1CN(CCN[C@H]2C[C@@H]3C[C@@H]3C2)C[C@H]1c1cccc(F)c1
ZINCau0000000oaJ,O=C(O)C1CN(CCNc2ccccc2)C[C@H]1c1cccc(F)c1
ZINCao0000001tKF,O=C(O)C1CN(CCNc2cccnc2)C[C@H]1c1cccc(F)c1
ZINCai0000001tI6,O=C(O)C1CN(CCNc2ccnnc2)C[C@H]1c1cccc(F)c1
ZINCai0000001tI7,O=C(O)C1CN(CCNc2cnccn2)C[C@H]1c1cccc(F)c1
ZINCai0000001tI8,O=C(O)C1CN(CCNc2cncnc2)C[C@H]1c1cccc(F)c1
ZINCai0000001tI9,O=C(O)C1CN(CCNc2ncccn2)C[C@H]1c1cccc(F)c1
ZINCas0000000D9y,O=C(O)C1CN(CCOC2CCSCC2)C[C@H]1c1cccc(F)c1
ZINCap0000003YHY,O=C(O)C1CN(CCO[C@@H]2CCCCO2)C[C@H]1c1cccc(F)c1
ZINCap0000003WAR,O=C(O)C1CN(CCO[C@H]2CCCCO2)C[C@H]1c1cccc(F)c1
ZINCau0000000Dz6,O=C(O)C1CN(CCOc2ccccc2)C[C@H]1c1cccc(F)c1
ZINCao0000003YHU,O=C(O)C1CN(CCOc2cccnc2)C[C@H]1c1cccc(F)c1
ZINC9p0000003YHA,O=C(O)C1CN(CC[C@@H]2CCCCN2)C[C@H]1c1cccc(F)c1
ZINC8o0000003WAs,O=C(O)C1CN(CC[C@@H]2CCOC2)C[C@H]1c1cccc(F)c1
ZINC9h0000003WAt,O=C(O)C1CN(CC[C@@H]2COCCO2)C[C@H]1c1cccc(F)c1
ZINC9p0000003WAr,O=C(O)C1CN(CC[C@H]2CCCCN2)C[C@H]1c1cccc(F)c1
ZINC8o0000003YHB,O=C(O)C1CN(CC[C@H]2CCOC2)C[C@H]1c1cccc(F)c1
ZINC9h0000003WAu,O=C(O)C1CN(CC[C@H]2COCCO2)C[C@H]1c1cccc(F)c1
ZINC9q0000000BCr,O=C(O)C1CN(CCc2ccccn2)C[C@H]1c1cccc(F)c1
ZINC9q0000000BCs,O=C(O)C1CN(CCc2cccnc2)C[C@H]1c1cccc(F)c1
